year,month,online_sale_offers,weekend,morning,evening,night,product_name,item_price,category,total_amount,publication,profit_inr,cost_price,profit_per_unit
2018,1,1,0,1,0,0,57,999,0,1084,65,129,869,129
2018,1,1,0,0,0,1,75,640,1,725,129,108,531,108
2018,1,1,0,0,0,1,179,715,1,800,9,121,593,121
2018,1,1,0,0,1,0,14,565,0,650,98,73,491,73
2018,1,0,0,0,0,1,215,494,0,579,64,64,429,64
2018,1,0,0,0,0,1,186,425,0,510,99,55,369,55
2018,1,0,0,0,0,1,14,565,0,650,98,73,491,73
2018,1,0,0,1,0,0,14,565,0,650,98,73,491,73
2018,1,0,1,0,0,1,8,200,1,285,126,34,166,34
2018,1,0,1,0,0,1,68,610,1,695,124,103,506,103
2018,1,0,1,1,0,0,18,543,0,628,127,70,472,70
2018,1,0,1,0,0,0,18,543,0,628,127,70,472,70
2018,1,0,1,0,0,0,189,645,0,730,100,83,561,83
2018,1,0,1,1,0,0,14,565,0,650,98,73,491,73
2018,1,0,1,1,0,0,18,543,0,628,127,70,472,70
2018,1,0,1,0,1,0,57,999,0,1084,65,129,869,129
2018,1,0,0,1,0,0,57,999,0,1084,65,129,869,129
2018,1,0,0,1,0,0,68,610,1,695,124,103,506,103
2018,1,0,0,1,0,0,77,450,1,535,59,76,373,76
2018,1,0,0,0,0,0,75,640,1,725,129,108,531,108
2018,1,0,0,0,0,0,14,565,0,650,98,73,491,73
2018,1,0,0,0,1,0,74,690,1,775,59,117,572,117
2018,1,0,0,0,0,1,57,999,0,1084,65,129,869,129
2018,1,0,0,1,0,0,234,485,0,570,98,63,421,63
2018,1,0,0,1,0,0,98,1480,0,1565,14,192,1287,192
2018,1,0,0,1,0,0,98,1480,0,1565,14,192,1287,192
2018,1,0,0,0,0,0,84,959,2,1044,80,172,786,172
2018,1,0,0,1,0,0,43,260,1,345,22,44,215,44
2018,1,0,0,1,0,0,68,610,1,695,124,103,506,103
2018,1,0,0,1,0,0,68,610,1,695,124,103,506,103
2018,1,0,0,1,0,0,8,200,1,285,126,34,166,34
2018,1,0,0,1,0,0,59,910,0,995,65,118,791,118
2018,1,0,0,0,1,0,68,610,1,695,124,103,506,103
2018,1,0,0,0,0,1,195,465,0,550,122,60,404,60
2018,1,0,0,0,0,1,68,610,1,695,124,103,506,103
2018,1,0,0,0,0,1,57,999,0,1084,65,129,869,129
2018,1,0,0,0,0,1,84,959,2,1044,80,172,786,172
2018,1,0,0,1,0,0,186,425,0,510,99,55,369,55
2018,1,0,0,1,0,0,189,645,0,730,100,83,561,83
2018,1,0,0,1,0,0,68,610,1,695,124,103,506,103
2018,1,0,0,1,0,0,69,615,1,700,58,104,510,104
2018,1,0,0,1,0,0,195,465,0,550,122,60,404,60
2018,1,0,1,0,0,1,186,425,0,510,99,55,369,55
2018,1,0,1,0,0,1,11,768,1,853,5,130,637,130
2018,1,0,1,1,0,0,75,640,1,725,129,108,531,108
2018,1,0,1,1,0,0,7,175,1,260,5,29,145,29
2018,1,0,1,0,0,0,84,959,2,1044,80,172,786,172
2018,1,0,0,0,0,1,7,175,1,260,5,29,145,29
2018,1,0,0,0,0,1,181,899,0,984,98,116,782,116
2018,1,0,0,0,0,1,11,768,1,853,5,130,637,130
2018,1,0,0,0,0,1,11,768,1,853,5,130,637,130
2018,1,0,0,0,0,1,11,768,1,853,5,130,637,130
2018,1,0,0,0,0,1,181,899,0,984,98,116,782,116
2018,1,0,0,0,0,1,181,899,0,984,98,116,782,116
2018,1,0,0,1,0,0,195,465,0,550,122,60,404,60
2018,1,0,0,1,0,0,181,899,0,984,98,116,782,116
2018,1,0,0,0,0,0,186,425,0,510,99,55,369,55
2018,1,0,0,0,0,0,40,1250,0,1335,39,162,1087,162
2018,1,0,0,0,0,0,181,899,0,984,98,116,782,116
2018,1,0,0,0,1,0,181,899,0,984,98,116,782,116
2018,1,0,0,0,0,0,181,899,0,984,98,116,782,116
2018,1,0,0,0,0,1,195,465,0,550,122,60,404,60
2018,1,0,0,1,0,0,195,465,0,550,122,60,404,60
2018,1,0,0,1,0,0,181,899,0,984,98,116,782,116
2018,1,0,0,0,0,0,181,899,0,984,98,116,782,116
2018,1,0,0,0,1,0,181,899,0,984,98,116,782,116
2018,1,0,0,1,0,0,10,680,1,765,5,115,564,115
2018,1,0,0,0,0,1,181,899,0,984,98,116,782,116
2018,1,0,0,0,0,1,181,899,0,984,98,116,782,116
2018,1,0,1,0,0,1,215,494,0,579,64,64,429,64
2018,1,0,1,1,0,0,14,565,0,650,98,73,491,73
2018,1,0,1,0,0,0,209,757,0,842,64,98,658,98
2018,1,0,1,0,0,0,150,308,0,393,84,40,267,40
2018,1,0,1,0,0,1,209,757,0,842,64,98,658,98
2018,1,0,1,0,1,0,11,768,1,853,5,130,637,130
2018,1,0,1,0,1,0,65,640,1,725,129,108,531,108
2018,1,0,0,1,0,0,77,450,1,535,59,76,373,76
2018,1,0,0,1,0,0,55,595,1,680,5,101,493,101
2018,1,0,0,1,0,0,14,565,0,650,98,73,491,73
2018,1,0,0,1,0,0,14,565,0,650,98,73,491,73
2018,1,0,0,1,0,0,55,595,1,680,5,101,493,101
2018,1,0,0,1,0,0,55,595,1,680,5,101,493,101
2018,1,0,0,0,1,0,55,595,1,680,5,101,493,101
2018,1,0,0,0,1,0,55,595,1,680,5,101,493,101
2018,1,0,0,0,0,1,55,595,1,680,5,101,493,101
2018,1,0,0,1,0,0,195,465,0,550,122,60,404,60
2018,1,0,0,0,0,1,118,499,1,584,66,84,414,84
2018,1,0,0,1,0,0,159,899,1,984,5,152,746,152
2018,1,0,0,0,0,0,55,595,1,680,5,101,493,101
2018,1,0,0,0,1,0,55,595,1,680,5,101,493,101
2018,1,0,0,0,1,0,55,595,1,680,5,101,493,101
2018,1,0,0,0,1,0,55,595,1,680,5,101,493,101
2018,1,0,0,0,0,1,68,610,1,695,124,103,506,103
2018,1,0,0,0,0,1,68,610,1,695,124,103,506,103
2018,1,0,0,1,0,0,68,610,1,695,124,103,506,103
2018,1,0,0,1,0,0,69,615,1,700,58,104,510,104
2018,1,0,0,1,0,0,177,600,1,685,5,102,498,102
2018,1,0,0,0,0,0,159,899,1,984,5,152,746,152
2018,1,0,0,0,1,0,195,465,0,550,122,60,404,60
2018,1,0,0,0,1,0,152,690,0,775,86,89,600,89
2018,1,1,0,0,0,1,66,450,1,535,59,76,373,76
2018,1,1,0,1,0,0,69,615,1,700,58,104,510,104
2018,1,1,0,1,0,0,9,215,1,300,5,36,178,36
2018,1,1,0,1,0,0,69,615,1,700,58,104,510,104
2018,1,1,0,0,0,0,189,645,0,730,100,83,561,83
2018,1,0,0,0,0,0,69,615,1,700,58,104,510,104
2018,1,0,0,0,0,0,68,610,1,695,124,103,506,103
2018,1,0,0,0,1,0,12,225,2,310,17,40,184,40
2018,1,0,0,0,1,0,68,610,1,695,124,103,506,103
2018,1,0,1,0,0,1,9,215,1,300,5,36,178,36
2018,1,0,1,1,0,0,9,215,1,300,5,36,178,36
2018,1,0,1,1,0,0,9,215,1,300,5,36,178,36
2018,1,0,1,1,0,0,9,215,1,300,5,36,178,36
2018,1,0,1,1,0,0,9,215,1,300,5,36,178,36
2018,1,0,1,1,0,0,9,215,1,300,5,36,178,36
2018,1,0,1,1,0,0,12,225,2,310,17,40,184,40
2018,1,0,1,1,0,0,195,465,0,550,122,60,404,60
2018,1,0,1,0,0,1,68,610,1,695,124,103,506,103
2018,1,0,1,0,0,1,68,610,1,695,124,103,506,103
2018,1,0,1,0,0,1,152,690,0,775,86,89,600,89
2018,1,0,1,1,0,0,9,215,1,300,5,36,178,36
2018,1,0,0,1,0,0,68,610,1,695,124,103,506,103
2018,1,0,0,0,0,0,209,757,0,842,64,98,658,98
2018,1,0,0,0,1,0,117,305,1,390,62,51,253,51
2018,1,0,0,0,1,0,224,610,0,695,21,79,530,79
2018,1,0,0,0,0,1,224,610,0,695,21,79,530,79
2018,1,0,0,0,0,1,209,1514,0,1684,64,196,1317,98
2018,1,0,0,1,0,0,224,610,0,695,21,79,530,79
2018,1,0,0,1,0,0,57,999,0,1084,65,129,869,129
2018,2,0,0,0,1,0,61,625,0,710,85,81,543,81
2018,2,0,0,0,0,0,68,610,1,695,124,103,506,103
2018,2,0,1,0,1,0,84,959,2,1044,80,172,786,172
